[2019-09-07T21:02:22.443] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T21:02:22.484] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T21:03:06.831] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T21:03:06.866] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T21:10:09.122] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T21:10:09.255] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T21:28:42.981] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T21:28:43.043] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T21:28:45.634] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T21:28:45.655] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:08:51.907] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:08:51.992] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:31:05.546] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:31:05.604] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:31:15.213] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:31:15.248] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:31:21.028] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:31:21.050] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:34:39.050] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:34:39.097] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:37:47.093] [INFO] [src/index] - [GET] /api/items
[2019-09-07T22:38:03.125] [INFO] [src/index] - [GET] /api/items
[2019-09-07T22:38:15.870] [INFO] [src/index] - [GET] /api/items?id=1
[2019-09-07T22:39:14.913] [INFO] [src/index] - [GET] /api/items?id=1
[2019-09-07T22:39:22.264] [INFO] [src/index] - [GET] /api/items?id=
[2019-09-07T22:39:32.862] [INFO] [src/index] - [GET] /api/items?id=1
[2019-09-07T22:42:03.393] [INFO] [src/index] - [GET] /api/items?id=1
[2019-09-07T22:42:06.878] [INFO] [src/index] - [GET] /api/items?id=2
[2019-09-07T22:42:10.165] [INFO] [src/index] - [GET] /api/items?id=1
[2019-09-07T22:43:56.428] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:43:56.475] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:43:57.187] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-07T22:44:02.325] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-07T22:44:03.471] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-07T22:44:04.251] [INFO] [src/index] - [GET] /api/items?cate_id=2
[2019-09-07T22:55:38.153] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-07T22:55:45.668] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:55:45.712] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:55:46.367] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-07T22:56:20.202] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:56:20.245] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:56:21.078] [INFO] [src/index] - [GET] /api/items?cate_id=1
[2019-09-07T22:57:22.679] [INFO] [src/index] - [GET] /api/jobs
[2019-09-07T22:57:22.712] [INFO] [src/index] - [GET] /api/categories
[2019-09-07T22:57:23.396] [INFO] [src/index] - [GET] /api/items?cate_id=1
